,Regressor,Method,k,n_rep,EC,EC_vec_sd,EC_scalar_sd,EC_median,EC_1%,EC_5%,EC_25%,EC_50%,EC_75%,EC_95%,EC_99%,EC_max,EC_min,MAE,MAE_sd,MAPE,MAPE_sd,MSqE,MSqE_sd,RMSqE,RMSqE_sd,R2,R2_sd,Abs_Err_Std,Abs_Err_Std_sd
0,LinReg,ratio,5,5,0.74,0.14,0.12,0.81,0.04,0.21,0.6,0.81,0.95,1,1,1,0.01,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
1,LinReg,ratio-diff,5,5,0.18,0.12,0.08,0.1,0,0,0.03,0.1,0.25,0.66,0.92,0.99,0,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
2,LinReg,ratio-signed,5,5,0.71,0.2,0.13,0.81,-0.5,0.04,0.6,0.81,0.95,1,1,1,-0.98,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
3,LinReg,ratio-diff-signed,5,5,0.13,0.13,0.07,0.09,-0.77,0,0.01,0.09,0.21,0.58,0.91,0.99,-0.93,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
4,LinReg,intersection_union_sample,5,5,0.37,0.38,0.06,0,0,0,0,0,0.82,1,1,1,0,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
5,LinReg,intersection_union_all,5,5,0.27,0.02,NA,0.27,0.24,0.24,0.25,0.27,0.28,0.32,0.33,0.33,0.24,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
6,LinReg,negative_incon,5,5,0.17,0.58,0.05,-0.05,-0.5,-0.5,-0.45,-0.05,0.82,1,1,1,-0.5,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
7,LinReg,positive_incon,5,5,33.37,32.23,0.75,19.67,0.57,2.47,8.4,19.67,51.29,92.08,153.26,197.88,0.16,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
8,LinReg,intersection_union_distance,5,5,25.94,33.65,1.31,9.36,0,0,3.04,9.36,38.59,92.08,153.26,197.88,0,22.5,0.67,1.92,0.2,888.42,91.32,29.77,1.52,0.66,0.03,19.64,1.64
9,Lasso-H,ratio,5,5,0.74,0.14,0.12,0.81,0.05,0.19,0.61,0.81,0.95,1,1,1,0.01,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
10,Lasso-H,ratio-diff,5,5,0.18,0.13,0.08,0.1,0,0,0.02,0.1,0.24,0.68,0.9,0.97,0,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
11,Lasso-H,ratio-signed,5,5,0.72,0.19,0.13,0.81,-0.39,0.14,0.6,0.81,0.95,1,1,1,-0.95,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
12,Lasso-H,ratio-diff-signed,5,5,0.14,0.13,0.07,0.09,-0.85,0,0.02,0.09,0.22,0.6,0.84,0.95,-0.97,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
13,Lasso-H,intersection_union_sample,5,5,0.38,0.39,0.06,0,0,0,0,0,0.82,1,1,1,0,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
14,Lasso-H,intersection_union_all,5,5,0.27,0.02,NA,0.27,0.24,0.24,0.25,0.27,0.28,0.32,0.33,0.33,0.24,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
15,Lasso-H,negative_incon,5,5,0.17,0.59,0.05,-0.02,-0.5,-0.5,-0.45,-0.02,0.82,1,1,1,-0.5,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
16,Lasso-H,positive_incon,5,5,33.39,32.28,0.76,19.68,0.47,2.43,8.46,19.68,50.67,92.82,153.22,197.14,0.07,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
17,Lasso-H,intersection_union_distance,5,5,25.95,33.76,1.33,9.51,0,0,2.73,9.51,39.48,92.82,153.22,197.14,0,22.54,0.62,1.92,0.2,887.38,89.86,29.75,1.49,0.67,0.03,19.57,1.65
18,Ridge-H,ratio,5,5,0.75,0.14,0.12,0.82,0.07,0.21,0.63,0.82,0.95,1,1,1,0.03,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
19,Ridge-H,ratio-diff,5,5,0.17,0.12,0.08,0.1,0,0,0.03,0.1,0.23,0.65,0.87,0.94,0,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
20,Ridge-H,ratio-signed,5,5,0.72,0.21,0.13,0.82,-0.68,0.07,0.61,0.82,0.95,1,1,1,-0.99,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
21,Ridge-H,ratio-diff-signed,5,5,0.13,0.11,0.07,0.08,-0.79,0,0.01,0.08,0.21,0.57,0.77,0.94,-0.93,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
22,Ridge-H,intersection_union_sample,5,5,0.38,0.38,0.07,0.03,0,0,0,0.03,0.83,1,1,1,0,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
23,Ridge-H,intersection_union_all,5,5,0.27,0.02,NA,0.27,0.24,0.24,0.25,0.27,0.29,0.32,0.33,0.33,0.24,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
24,Ridge-H,negative_incon,5,5,0.18,0.59,0.06,0.03,-0.5,-0.5,-0.45,0.03,0.83,1,1,1,-0.5,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
25,Ridge-H,positive_incon,5,5,33.68,32.49,0.68,19.9,0.63,2.04,8.3,19.9,50.94,92.94,153.97,196.51,0.17,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
26,Ridge-H,intersection_union_distance,5,5,26.11,34.19,1.32,9.22,0,0,2.69,9.22,40.42,92.94,153.97,196.51,0,22.74,0.54,1.9,0.19,889.84,82.92,29.8,1.38,0.66,0.03,19.4,1.59
27,RF-H,ratio,5,5,0.7,0.16,0.14,0.77,0.01,0.1,0.54,0.77,0.95,1,1,1,0,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
28,RF-H,ratio-diff,5,5,0.22,0.15,0.1,0.13,0,0,0.03,0.13,0.3,0.81,0.98,0.99,0,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
29,RF-H,ratio-signed,5,5,0.66,0.22,0.16,0.77,-0.66,-0.11,0.51,0.77,0.95,1,1,1,-0.92,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
30,RF-H,ratio-diff-signed,5,5,0.12,0.19,0.06,0.1,-0.94,-0.55,0,0.1,0.24,0.63,0.95,0.99,-0.99,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
31,RF-H,intersection_union_sample,5,5,0.36,0.35,0.08,0,0,0,0,0,0.77,1,1,1,0,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
32,RF-H,intersection_union_all,5,5,0.2,0.03,NA,0.19,0.15,0.15,0.18,0.19,0.21,0.27,0.28,0.28,0.15,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
33,RF-H,negative_incon,5,5,0.17,0.54,0.07,0,-0.5,-0.5,-0.44,0,0.77,1,1,1,-0.5,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
34,RF-H,positive_incon,5,5,40.27,46.57,0.79,19.78,0.65,2.37,8.24,19.78,56.89,132.9,218.86,250.98,0.06,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
35,RF-H,intersection_union_distance,5,5,34.99,48.86,2.21,9.35,0,0,3.47,9.35,48.86,132.9,218.86,250.98,0,26.08,0.42,2.08,0.1,1244.21,64.66,35.26,0.93,0.53,0.02,23.92,1.17
36,Knn-H,ratio,5,5,0.73,0.15,0.12,0.8,0.07,0.19,0.57,0.8,0.94,1,1,1,0.02,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
37,Knn-H,ratio-diff,5,5,0.19,0.13,0.09,0.11,0,0,0.03,0.11,0.27,0.67,0.87,0.96,0,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
38,Knn-H,ratio-signed,5,5,0.69,0.22,0.14,0.79,-0.68,-0.1,0.56,0.79,0.94,1,1,1,-0.98,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
39,Knn-H,ratio-diff-signed,5,5,0.13,0.12,0.07,0.09,-0.73,-0.05,0.01,0.09,0.24,0.6,0.84,0.93,-0.96,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
40,Knn-H,intersection_union_sample,5,5,0.4,0.36,0.08,0.33,0,0,0,0.33,0.82,1,1,1,0,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
41,Knn-H,intersection_union_all,5,5,0.23,0.03,NA,0.22,0.2,0.2,0.21,0.22,0.22,0.28,0.31,0.31,0.2,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
42,Knn-H,negative_incon,5,5,0.22,0.56,0.07,0.33,-0.5,-0.5,-0.44,0.33,0.82,1,1,1,-0.5,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
43,Knn-H,positive_incon,5,5,36.08,43.76,1.21,19.38,1.14,1.78,7.15,19.38,44.74,123.86,220.43,238.46,0.08,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
44,Knn-H,intersection_union_distance,5,5,30.18,46.01,1.71,8.55,0,0,2.52,8.55,39.25,123.86,220.43,238.46,0,23.83,0.74,1.95,0.15,1042.22,87.42,32.26,1.36,0.61,0.03,21.89,1.57
